Centris no,Type,Date Listed,Status,Address,Size,Active price,Taxes,Old prices,Zoning,Coordinates,Description
28331953,Lot for sale,2023-06-20,Active,"300, Rue Centrale, Sainte-Catherine",11786 sqft,1578000,NO,"0,00",Residential,45.4052857500--73.5739311500,"Magnificent land located in Montérégie in Ville Sainte-Catherine, warmly named '' La Ville au bord de l'eau '', less than 20 minutes from Montreal, ideal place for developers and investors! All amenities are within walking distance! Several innovative development projects are coming! Zoning is already approved for a 4 storeys immovables with underground parking ! SEE DETAILED DESCRIPTION ATTACHED TO THE CENTRIS SHEET ... UNIQUE OPPORTUNITY!"
11168399,Lot for sale,2023-06-20,Active,"boulevard Sainte-Anne, L'Ange-Gardien (Capitale-Nationale)",97951 sqft,7.75,NO,"0,00",Residential,46.9273710000--71.0652130000,"Grand terrain, superficie de 97,951 bordé sur fleuve : belle emplacement pour quai a bateau, vue sur le majestueux fleuve St-Laurent et sur l'île d'Orléans, possibilité de construire 4 immeubles en condo ou 6 logements locatifs plan disponible.  Facade de 104 pieds sur une profondeur de 1020 pieds.  Terrain déjà remblayer prêt pour futur projet."
11104098,Lot for sale,2023-06-20,Active,"Chemin du Lac, Cantley, Neighbourhood Cantley",53891 sqft,105000,YES,"0,00",Residential,45.6022272600--75.7228826600,Beau terrain de plus d'un acre au bout de montée st-amour a Cantley. Facile a construire. La tranquillité a 10 min de la ville. A voir au plus vite!!
9070832,Lot for sale,2023-06-20,Active,"Chemin du Mistral, Val-des-Lacs",48084 sqft,259000,NO,"0,00",Residential,46.1757989500--74.3851610300,"***Waterfront of Lac Quenouille *** Navigable and perfect for water sports and activities! PORT D'ATTACHE, Développement Tremblant Nord: Wooded lot of more than one acre located in a project focused on respect for nature & the environment. Will appeal to those looking for a connection with tranquility & outdoor activities. Only 20 minutes from Station Mont-Tremblant, 1h15 from Montreal.  Short-term rental not permitted"
18544134,Land for sale,2023-06-20,Active,"Chemin Kilmar, Grenville-sur-la-Rouge, Neighbourhood Canton Grenville",1062864 sqft,200000,NO,"0,00",Residential,45.7765901100--74.6163789000,Vous rêvez d'une terre pour chasser le gibier avec un lac pour y pêcher la truite? Voilà! À seulement 15 minutes de l'autoroute 50. Situé à mi-chemin entre Montréal et Ottawa.
11732495,Lot for sale,2023-06-20,Active,"Chemin Gaétan, Sainte-Lucie-des-Laurentides",30559 sqft,2700,YES,"0,00",Residential,46.0927683500--74.1912856400,"*** TERRAIN ENCLAVÉ *** Doit être vendu avec # Centris: 14292768, 23886286, 16755128, 18538798, 13524653. Prendre note que l'ACHETEUR sera responsable de s'assurer que le terrain est construisible, de faire ses propres vérifications auprès des autorités compétentes au sujet de la faisabilité de son projet, le tout à ses frais. Toute transaction devra se faire par l'entremise du notaire Me Annie Rousseau (St-Sauveur), le tout à la charge de l'ACHETEUR. Le vendeur ainsi que le courtier se déchargent de toutes responsabilités quant à l'exploitation possible du terrain vendu."
19028031,Lot for sale,2023-06-20,Active,"Chemin des Étangs, Notre-Dame-des-Bois",40004 sqft,59900,NO,"0,00","Residential, Resort",45.4018924700--70.9865247600,"Terrain d'une superficie de 40 004 pieds carrés situé dans le Domaine Des Appalaches. Un endroit parfait pour y construire une propriété dans un boisé. Le terrain est entouré de lacs, rivières et de sentiers pédestres. Terrain non aménagé."
22005367,Lot for sale,2023-06-20,Active,"Chemin du Lac-de-la-Grise, Ivry-sur-le-Lac",197712 sqft,299000,YES,"0,00",Residential,46.0754093400--74.3517847200,"JACKRABBIT - new development, with a minimum of 5 acres per land. A unique concept in perfect integration with nature to live in peace and harmony in a village where respect for nature is the number one priority. Ivry-sur-le-lac, is a municipality of +- 400 houses, lakes, cross-country skiing, hiking trails and it is the municipality with around 550 ha protected forest, very rare in Quebec, very proud of this success, so you can enjoy it. The domain is also only 2 minutes by car from public access to Lac-Manitou, another jewel of the region."
19613479,Lot for sale,2023-06-20,Active,"C, Croissant des Trois-Lacs, Lantier",293854 sqft,184500,YES,"0,00",Residential,46.1527241300--74.2543602000,"This beautiful and large wooded lot with mature trees is ideal and could be your private domain. It is located in front of a municipal street with electricity and cleared of snow by the municipality in the heart of the village of Lantier and a few minutes from Ste Agathe des Monts, the hospital, schools and services offered there."
13253384,Lot for sale,2023-06-20,Active,"Rue Saint-Pierre, Causapscal",13082 sqft,20000,NO,"0,00",Residential,48.3540127200--67.2282218000,Joli terrain prêt à construire avec vue sur la montagne. Services de la ville.
12499544,Lot for sale,2023-06-20,Active,"Avenue Painchaud, La Pocatière",5490 sqft,65874,YES,"0,00",Residential,47.3779747000--70.0211880300,"Voici votre occasion de vous établir dans un quartier résidentiel tout à fait exceptionnel, du jamais vu dans la région! Nouveau développement incluant 2 parcs, un jardin communautaire, une garderie, une piscine extérieure et un golf virtuel intérieur... Imaginez vivre dans un tel secteur! Réservez votre terrain dès maintenant!"
10874078,Land for sale,2023-06-20,Active,"Route 132, Dundee",4425696 sqft,3250000,YES,"0,00","Commercial, Residential",45.0472473600--74.4397238400,"immense terrain Situé près de la frontière avec U.S.A . 101 acres zoné blanc résidentiel et commercial ,plusieurs possibilités comme ex: développement résidentiel ou commercial ,terrain de camping ou golf avec accès au lac st François ."
9052494,Lot for sale,2023-06-20,Active,"Rue du Sauvignon, Chertsey",44088 sqft,87700,NO,"0,00",Residential,46.0737069800--73.8906097400,"une servitude réelle et perpétuelle consistant en un droit de passage à pied et en véhicule de toute nature pour accéder au Lac Jaune et un droit d'accès audit lac pour s'y baigner , y faire de la chaloupe ou du pédalo, ladite servitude devant s'exercer sur l'assiette suivante (fond servant)"
10595138,Lot for sale,2023-06-20,Active,"Route 309, Notre-Dame-de-la-Salette",52254 sqft,29000,NO,"0,00",Residential,45.7634636800--75.5819159800,"Land of one acre zoned residential, mature tree, gentle slope ideal for walk out, possibility of buying the land next door. Located 2 steps from the village, Notre Dame de la Salette offers a primary school, a golf course, a public descent to the river. It is located 30 km from the major centers of Gatineau and the hospital. A nice place!"
13091402,Lot for sale,2023-06-20,Active,"Rue des Licornes, Lac-Etchemin, Neighbourhood Lac-Etchemin",5800 sqft,50000,YES,"0,00",Residential,46.3961997800--70.4855185700,"27 terrains vacants dans le nouveau développement du Havre des Etchemins. Diverses dimensions de terrains disponibles et desservis par le réseau d'aqueduc et d'égouts. Possibilité d'auto-construction ou d'un clé en mains par Construction SMB Dallaire Inc. À cet effet, 3 modèles de maisons peuvent vous être proposés. Contactez-moi pour information additionnelle."
24219239,Lot for sale,2023-06-20,Active,"Rue Saguenay, Rouyn-Noranda, Neighbourhood D'Alembert",77501 sqft,69000,YES,"0,00",Residential,48.3697704400--79.0169224900,"Terrain à la sortie du quartier de D'Alembert, à proximité d'une école, d'un parc et des collines de D'Alembert."
24531407,Lot for sale,2023-06-20,Active,"Rue Paul-Émile, Notre-Dame-de-Lourdes (Lanaudière)",44764 sqft,219000,YES,"0,00",Residential,46.0827333200--73.4809040000,"Beau grand terrain située au bout d'une nouvelle rue sans issue, à 10 minutes de tous les servives, construction unifamiliale ou bi-familiale autorisée, voici l'endroit où vous pourrez réaliser cotre projet d'auto-construction"
18584162,Lot for sale,2023-06-20,Active,"Route de la Prée, Port-Daniel/Gascons",79277 sqft,25000,NO,"0,00",Residential,48.1977106000--64.9644795500,Terrain de 79277 pc avec 132 pieds de façade sur la rue. Idéal pour la construction de votre propriété. Près du centre de la ville. Terrain avec vue sur l'eau. Accès facile à la forêt. Belle opportunité
21855696,Lot for sale,2023-06-20,Active,"1, Rang du Bloc C, Bonsecours",1263240 sqft,189000,NO,"0,00",Residential,45.3881548900--72.2574397700,"Près de 30 ACRES zoné blanc, Boisé présentement utilisé pour la chasse.  Camp de chasse et caches déjà sur place. Près du lac Bowker et du Lac Stukely.  Adossé au parc du Mont Orford.  Le prix tient compte que le terrain est présentement enclavé. Il n'y a aucune servitude de passage enregistrée. Il sera a la charge de l'acheteur de voir ses droits a cet effet."
25903715,Lot for sale,2023-06-20,Active,"Montée des Trappeurs, Saint-Côme",34707 sqft,86768,YES,"0,00","Commercial, Recreational and tourism, Residential, Resort",46.2801658100--73.8498674200,"SHORT TERM RENTALS ALLOWED. Lot #03 - Beautiful wooded lot with a breathtaking view of the wild mountains of the region. Close to the village of Saint-Côme and all services. Saint-Côme offers a full range of winter and summer activities, as well as several festivals and a popular ski resort. There are many trails available for walking, snowshoeing and cross-country skiing in summer and winter. Invest now! For more information, visit www.domainevalnature.info"
11296974,Lot for sale,2023-06-20,Active,"Montée des Chevreuils, Chute-Saint-Philippe",39896 sqft,1.75,YES,"0,00",Residential,46.6401974000--75.2281970300,Great opportunity to purchase a beautiful lot to build your new home or cottage. Possibility of having a turnkey option with the builder also! Hurry these lots will not last! Private access to a lake inside the project in the Kiamika river. Possible financing by the owner
11189879,Lot for sale,2023-06-20,Active,"2200, boulevard Dormicourt, Otterburn Park",9729 sqft,350000,YES,"0,00",Residential,45.5361529000--73.2262253800,"**OPPORTUNITÉ TERRAIN 2 À 6PLEX** À Otterburn Park dans un nouveau projet domiciliaire de plus de 900 nouvelles portes! Bénéficiez d'un site exclusif à l'entrée du Projet Le Patriote 2020. Secteur en plein développement incluant plusieurs services à venir prochainement soit École primaire, pharmacie, garderie. Maximisez ce terrain de 9729pi2 avec une construction à votre goût de 2 à 4 logements et possiblement plus! Ne ratez pas cette occasion de rêve!"
12407643,Lot for sale,2023-06-20,Active,"46, Chemin Kates, Bolton-Est",240785 sqft,234900,YES,"0,00",Residential,45.2624466100--72.3112175200,"Votre coin de paradis se trouve sur le domaine La Bourgade du lac Long. Ce domaine privé inclut un accès a un parc privé avec plus de 1,3km de sentier forestier, une rive de lac d'une longueur de 1 181pi, de 4 espaces embarcations nautiques (non motorisé). Cet étincelant domaine se situe à 1h du pont Champlain et vous allez pouvoir profiter de 4 montagnes à moins de 45 min. Une visite vous charmera."
14281216,Lot for sale,2023-06-20,Active,"47, Chemin Nadon, Notre-Dame-de-la-Salette",46524 sqft,59900,NO,"0,00",Residential,45.7789738100--75.5446907000,"WOW!! Superb residential land + 1 arpent 46,524.08 sq. ft. with the possibility of building the property YOU have always DESIRED! Quiet corner, view of the mountains, access to the beach and Lake Chapleau, a peaceful place where you will find true peace. Contact me now 819-664-3308."
27523611,Lot for sale,2023-06-20,Active,"Chemin du Mont-de-Lanaudière, Saint-Gabriel-de-Brandon",19507 sqft,53900,NO,"0,00",Residential,46.3074501100--73.4103629600,"* SECTEUR DE CHOIX! * Facile à construire! * Aqueduc passe en avant (reste à raccorder). * Électricité est dans la rue * Terrain profond et entièrement boisé pratiquement plat, très beau terrain! * Excellent secteur pour les amateurs de motoneige et de VTT, à 5 minutes de la plage publique et de la descente de bateau, ainsi que les principaux services. Facile d'accès. De plus le centre Multifonctionnel est à quelques pas avec un nouveau parc pour les enfants. ** Ne chercher plus! ** Coup de coeur assuré! **"
12231835,Land for sale,2023-06-20,Active,"1Z, Route 138, Longue-Rive",40142243 sqft,5000000,YES,"0,00","Agricultural, Commercial, Forest, Residential",48.5145416300--69.2891355000,"Unique - property assembled over the past 50 years totalizing 1,000 acres of land along the St. Lawrence River! The whole land is divided between the two sides of provincial 138 road in Baie-des-Bacon (Longue-Rive) and benefits a sandy beach. The plantation is mainly composed of black spruce, white spruce and Jack spine as well as aspen and birch. Rare opportunity to acquire a property of this calibre, at a high international value."
19271769,Lot for sale,2023-06-20,Active,"boulevard Cléroux, Laval (Sainte-Dorothée), Neighbourhood East Islemère",9000 sqft,145000,NO,"0,00",Residential,45.5464521800--73.8055444300,"INVESTISSEMENT*** EMPLACEMENT STRATÉGIQUE. Terrains résidentielle de très bon potentiel. Zoné T3.3-1015,ce type de milieux se compose de bâtiments isolés et jumelés d'un a 2 étages. Impossible de construire pour le moment, donc plus pour un développement futur. L'acheteur devra faire ses propres recherches auprès de la ville."
22237924,Lot for sale,2023-06-20,Active,"66, Rue Boutin, Lorrainville",8993 sqft,15000,YES,"0,00",Residential,47.3512650000--79.3494250000,"The wonderful municipality of Lorrainville now allows you to build your dream home by offering you land. New neighborhood in development, now is your chance to be part of this beautiful community and enjoy these beautiful large lots!"
27658528,Lot for sale,2023-06-20,Active,"Rue des Écureuils, Brownsburg-Chatham",297410 sqft,190000,YES,"0,00",Residential,45.6823678300--74.4199132400,Quatre grands terrains à développer. La tranquillité garantie. Excellent pour contracteurs.
19085692,Lot for sale,2023-06-20,Active,"Rue Jean, Sainte-Marthe-sur-le-Lac, Neighbourhood North",11175 sqft,349000,YES,"0,00",Residential,45.5279858700--73.9512770000,"Vous rêvez de construire la maison de vos rêves dans un cadre paisible et enchanteur ? Ne cherchez plus ! Nous avons le terrain idéal pour vous à Ste-Marthe-sur-le-Lac, prêt à accueillir votre projet de construction. Lot 2209809."
13405456,Lot for sale,2023-06-20,Active,"Rue Terry-Fox, Mont-Tremblant, Neighbourhood Saint-Jovite",15299 sqft,44500,NO,"0,00","Residential, Resort",46.1459768700--74.5827522800,"Welcome to this ideal vacation haven. This exceptional property features a perfect building plateau, offering panoramic views of the surrounding area and breathtaking sunsets. With a combination of plateau and sloping terrain, it provides the opportunity to design a unique residence that seamlessly blends with the natural environment.  You'll be in proximity to the renowned P'Tit Train du Nord trail, where you can indulge in cycling or cross-country skiing and fully immerse yourself in the pleasures of nature. Additionally, you'll have the privilege of being almost neighbors with the prestigious Club Links golf club. See addendum."
15931081,Lot for sale,2023-06-20,Active,"Avenue Jasmin, Chertsey",64596 sqft,45000,NO,"0,00","Other, Commercial, Recreational and tourism, Residential",46.0656181400--73.9015750900,Superbe terrain plat de 6001.2 mc. Secteur paisible de Chertsey. Le voisin de droite est le 525 ave Jasmin et à gauche c'est un terrain vacant. Installez vous ici !! 1 heure de Montréal et quelques minutes du village et la route 125.
16322189,Lot for sale,2023-06-20,Active,"Impasse de l'Île, Roxton Pond",16146 sqft,260000,YES,"0,00",Residential,45.4602892100--72.6477234600,"Prêt à construire. Endroit calme et paisible. Terrain résidentiel de 16 146 pc.  Emplacement de choix au bout d'un rond-point avec maison de prestige juste en face. Situé en 2e rangée du Lac de Roxton Pond.  Votre plan de construction devra être approuvé par le vendeur. Un des rares terrains de disponibles autour du Lac ! Selon votre plan de maison, vous aller bénéficier une vue sur le Lac !!!! Une occasion à saisir, faites vite à ce prix ...!"
23744451,Lot for sale,2023-06-20,Active,"Chemin des Novateurs, La Conception",27525 sqft,135000,YES,"0,00",Residential,46.1431192300--74.7137254700,"Lot #336 - Welcome to the Chic Shack project - Phase 3! Short term rental allowed. Land development located in La Conception, a unique place in the middle of nature, only 15 minutes from the ski slopes of Mont-Tremblant! Build your dream chalet in Chic Shack's signature refined style. A must see!"
14557078,Lot for sale,2023-06-20,Active,"Chemin des Patriotes, Saint-Mathias-sur-Richelieu",11594 sqft,325000,YES,"0,00",Residential,45.4971970600--73.2520627400,Consult
26303576,Lot for sale,2023-06-20,Active,"Chemin Roland, Val-des-Lacs",44235 sqft,65000,NO,"0,00",Residential,46.1946630000--74.3977940000,"Chemin Privé et droit de passage voir acte de vente Servitude d'hydro, zone humide ou inondable devra être vérifier par l'acheteur."
9954565,Lot for sale,2023-06-20,Active,"Chemin White, Harrington",57236 sqft,49500,YES,"0,00",Residential,45.8870468400--74.5963286400,"One of 3 remaining lots in the Quartier Phase of the Terra Perma development. Build your chalet or home in the heart of of a community based eco development in Harrington. Just over 1 acre on a private road. This semi-wooded lot features several building options and is adjacent to the forest park and has direct access to the Herron trail. Private road access to the lot. Part of the Terra Perma development, residents have access to 100+ acres of protected forest park, private trails, and non-motorized lake Besançon with annual membership. Enjoy Terra Perma's organic and local food producers and other projects in this unique and eco-domain."
21781521,Lot for sale,2023-06-20,Active,"828Z, Rue du Chemin-de-Fer, Wentworth-Nord",26575 sqft,269000,NO,"0,00",Residential,45.8821340000--74.3633060000,Bienvenue au 828 ch de fer à Wentworth-Nord. Terrain de plus de 26 000 pieds carrés avec un quai incluant accès à l'eau sur lac navigable.  Le bâtiment est à démolir.
16804861,Lot for sale,2023-06-20,Active,"40Z, Rue Saint-Philippe, Victoriaville",63226 sqft,450000,YES,"0,00",Residential,46.0566330000--71.9650620000,"Terrain prêt à accueillir une habitation multi-familiale allant jusqu'à 20 unités locatives. Situé au coeur du centre-ville de Victoriaville et à proximité des pistes cyclables, épiceries et commerces essentiels. Emplacement idéal pour des investisseurs immobiliers. À qui la chance? Contactez Jean-François Rivard pour plus d'informations, 819 740-0288."
15402955,Lot for sale,2023-06-20,Active,"Avenue Painchaud, La Pocatière",5097 sqft,47095,YES,"0,00",Residential,47.3779020500--70.0212309500,"Voici votre occasion de vous établir dans un quartier résidentiel tout à fait exceptionnel, du jamais vu dans la région! Nouveau développement incluant 2 parcs, un jardin communautaire, une garderie, une piscine extérieure et un golf virtuel intérieur... Imaginez vivre dans un tel secteur! Réservez votre terrain dès maintenant!"
26645260,Lot for sale,2023-06-20,Active,"19, Rue Éric, Victoriaville",36345 sqft,130000,NO,"0,00",Residential,46.0467478500--72.0043064400,"Grand terrain boisé de plus de 36000 pieds carré avec beaucoup d'arbres mature dont des érables, en sortie de ville de Victoriaville. Ce terrain c'est un peu comme la campagne en ville. Venez le découvrir avec Joel Lehoux au 819-352-3011"
17292250,Lot for sale,2023-06-20,Active,"Rue de Champéry, Québec (Charlesbourg), Neighbourhood Notre-Dame-des-Laurentides",82031 sqft,2000000,YES,"0,00",Residential,46.9401331000--71.3203793900,"Possibility of Innovative Environmental Sustainable Development Project in the National Capital ...  More than 82,000 Square Feet...  For innovative investors engaged in the community... Exceptional & natural sites to realize...  Bordered by the Yellow River... This river, which borders & crosses the subdivisions, is the main route of transport of drinking water for consumption & domestic use of the citizens of Quebec City... There are two lakes nearby, including Le Lac Jaune, Lac de la Sagamité. Panorama of the mountains and ski slopes... Exceptional resort waiting to be deployed."
15753597,Lot for sale,2023-06-20,Active,"472, Chemin Monk, Montréal (L'Île-Bizard/Sainte-Geneviève), Neighbourhood L'Île-Bizard",166894 sqft,1350000,YES,"0,00","Agricultural, Residential",45.4774690000--73.9336660000,"ATTENTION! Waterfront lot of 166,894.43 square feet. !! An exceptional place to live which is a rare find. Country living in the City. Where you can enjoy your privacy! Chemin Monk is one of the most prestigious street on the island. A few minutes from 3 golf courses, Boisé de L'Île, 2 elementary schools, bicycle path, services and much more.  CEGEP, private and high schools at short distance. See addendum for more details."
20248550,Lot for sale,2023-06-20,Active,"Chemin du Cordon, Notre-Dame-du-Laus",63569 sqft,114900,YES,"0,00","Residential, Resort",46.1309304300--75.6702173600,"Lot 15 on the site plan. One of three lots offering seasonal views of the lake, this gently sloped property, approximately 1.5 acres, is ideal to build your dream. All Falcon Ridge property owners gain access to the Community Lot and its amenities, including beach access, the community lodge and its features, and guest cabins. Fiber optic internet will be installed at the end of 2022."
11270102,Lot for sale,2023-06-20,Active,"Chemin Bord-de-l'eau Sud, Noyan",36802 sqft,239000,NO,"0,00",Residential,45.0645491000--73.3194923400,"Magnifique terrain sur le bord de l'eau (Rivière Richelieu) pour vous construire la maison de vos rêves. Le terrain a des parties en zone inondables mais nous avons un plan: étude de faisabilité, en main qui nous donne un bon carré de maison hors de la zone inondable.   Le système d'égout de la municipalité est disponible dans le secteur, reste a s'y raccorder.   N.B. Selon la ville il y aurait possibilité de bâtir unifamiliale, bi génération et duplex; a confirmer avec eux."
11684040,Lot for sale,2023-06-20,Active,"C, Rue Coleraine, Thetford Mines, Neighbourhood Thetford Mines",8277 sqft,22762,YES,"0,00",Residential,46.0699840000--71.3098160000,"Terrain situé dans une rue tranquille, idéal pour y construire une première maison ou une maison pour la retraite. Tout près d'un parc et de la patinoire municipale. Voir Addenda!"
12365132,Lot for sale,2023-06-20,Active,"Rue Water, Portage-du-Fort",27219 sqft,15000,NO,"0,00",Residential,45.5914318300--76.6604263100,Consult
21405080,Lot for sale,2023-06-20,Active,"Avenue du Pont Nord, Alma, Neighbourhood Alma",22415 sqft,45000,YES,"0,00",Residential,48.6169460200--71.6183705400,Terrains à proximité du village de St-Coeur-de-Marie et d'Alma. Les lots 5477789 et 5477790 doivent être vendus ensemble.
16613600,Lot for sale,2023-06-20,Active,"Chemin de Cedarville, Ogden",51107 sqft,259000,NO,"0,00",Residential,45.0700235800--72.2127938700,"**DOCK ON LAKE MEMPHREMAGOG** OGDEN. Land of more than one acre zoned residential offering notarized access to the majestic Lake Memphremagog and a dock space. The lake lot has an area of over 32,000 ft2, a frontage of nearly 100 feet and was redeveloped in 2022. Access to the lake, docks and costs related to the maintenance of the beach and the road are shared between the members of the Association des propriétaires de la ROUTE et de la PLAGE des Pruches. Possibility of a maple grove and a view of the mountains. An opportunity to seize, contact us!"
27163545,Lot for sale,2023-06-20,Active,"X, Chemin des Bâtisseurs, Notre-Dame-de-Ham",53820 sqft,90000,NO,"0,00",Residential,45.9292332900--71.7062295400,"Magnifique terrain de 5000 mètres carré,  en bordure d'un boisé. Sur la propriété vous pourrez trouver un petit campement relié a l'électricité."
26009410,Lot for sale,2023-06-20,Active,"Chemin d'Andernach, Grenville-sur-la-Rouge, Neighbourhood Canton Grenville",89837 sqft,143739,NO,"0,00",Residential,45.7382757200--74.5263054900,"Beautiful wooded residential lot for sale that may be of interest to you. This land is perfect for those looking to build a home in a serene and natural setting. The property is covered in trees and provides a sense of privacy and seclusion. It is situated in a quiet neighborhood that allows short term rentals as well.  The land is ready for construction and has all necessary infrastructure, including water, electricity, and road access. You have the freedom to design and build your dream home, surrounded by nature. If you're looking for a peaceful and natural setting to call home,may be the perfect fit for you"
20532617,Land for sale,2023-06-20,Active,"8129, Chemin du Chicot Nord, Mirabel, Neighbourhood Saint-Augustin",197736 sqft,1125000,NO,"0,00","Agricultural, Commercial, Residential",45.6275383300--73.9696221400,"Propriété aux possibilités multiples. Partie résidentielle comprenant une maison, piscine creusée et un garage sur un terrain d'environ 50,000 pi.ca situé dans la zone d'affectation urbaine. Un changement de zonage en commercial est possible dans un délai de 3 à 4 mois selon l'urbanisme de Mirabel. Se trouvant à côté du McDonald et en face du Tim Horton. La partie agricole du terrain en arrière à +/- 147,644 pi.ca. Site idéal pour développer un commerce ayant une bannière reconnue."
26631959,Lot for sale,2023-06-20,Active,"Chemin des Monts, Chertsey",87007 sqft,47000,YES,"0,00","Agricultural, Commercial, Forest, Recreational and tourism, Residential",46.1555974100--73.8905400300,Consult
28015858,Lot for sale,2023-06-20,Active,"110e Rue, Beauceville",10112 sqft,49900,YES,"0,00",Residential,46.2046100000--70.7880850000,"Très beau secteur résidentiel de Beauceville devant l'hôpital, le développement du Plateau St-François offre de grands terrains bordés d'un mur coupe-son pour assurer une plus grande intimité, de 4500pi2 à 13 500pi2 pouvant accueillir maison unifamiliale ou jumelé. Choisissez votre plan ou votre autoconstruction!"
9359487,Lot for sale,2023-06-20,Active,"906, Rue Morin, Saint-René",32292 sqft,35036,YES,"0,00",Residential,46.0630635300--70.6173890100,"lot 12, Nouveau développement Rue sera Asphalté, Terrain Borné & cadastré, Test de sol inclus, Prêt à construire a quelques Minutes de St-Georges de Beauce"
28053936,Lot for sale,2023-06-20,Active,"Chemin du Golf Est, Saint-Charles-Borromée",9000 sqft,225000,NO,"0,00","Commercial, Residential",46.0443067900--73.4469549300,"Très beau terrain de 9 000 pieds carrés situé dans un secteur de choix avec accès à plusieurs services. Haie de cèdres à la cour arrière, grande entrée et stationnement déjà pavé. Idéal pour construction résidentielle, duplex, triplex, bureaux d'affaires ou autres. Bienvenue à tous !"
26368360,Lot for sale,2023-06-20,Active,"boulevard Cléroux, Laval (Sainte-Dorothée), Neighbourhood East Islemère",9028 sqft,160000,NO,"0,00",Residential,45.5456594700--73.8045615900,"INVESTISSEMENT! Terrain résidentiel où les services n'y sont pas encore présent, infrastructure, eau/égout. L'acheteur devra faire ses recherche auprès de ville pour les permis et plan.  Other land available Contact EquipeImmo 514-700-1900"
11539726,Lot for sale,2023-06-20,Active,"Chemin Magog, North Hatley",188550 sqft,500000,YES,"0,00",Residential,45.2734990000--71.9960640000,"North Hatley! Rareté, exceptionnel terrain de 4.3 acres (17516.9 mètres carrés) comprenant 3 lots. Terrain constructible, topographie plate et en pente. Zonage  résidentiel, boisé mixte, site haut de gamme, paisible & recherché. Près du centre village & services. Prorpiété prête à recevoir votre projet de construction."
26371061,Lot for sale,2023-06-20,Active,"Rue Principale, Sainte-Ursule",61103 sqft,50000,NO,"0,00","Commercial, Residential",46.2888440000--73.0345520000,Terrain situé dans un secteur tranquille du village à 8 minutes de Louiseville et desservi par égouts et aqueduc municipale! Autorisation municipale de construction sans étude de caractérisation de sol. Le terrain est bordé par la petite Rivière du Loup et sa superficie de topographie plane est d'environ 5000 pc car une grande partie du terrain est en pente vers le cour d'eau. Le coûts des taxes municipales et scolaires seront régularisés à la baisse au cour des prochaines semaines car le lot initiale a été subdivisé récemment. (Le garage qu'on voit sur la photo ne fait pas partie du lot)
9483341,Lot for sale,2023-06-20,Active,"Chemin du Lac-des-Becs-Scie Ouest, Saint-Sauveur",30120 sqft,139000,NO,"0,00",Residential,45.8548031100--74.2126305400,"Vous recherchez l'intimité et la quiétude en nature pour y construire votre propriété de rêve ? Voici un magnifique terrain boisé de 30 000 pieds carrés situé près du lac des Becs Scies à Saint-Sauveur. Avec plus de 100 pieds en bordure du chemin, vous aurez la possibilité d'y construire une résidence unifamiliale sur un site enchanteur en montagne. Le terrain comprend un accès notarié au lac des becs scie qui se trouve à quelques minutes. En plus d'être navigable, ce lac vous donne droit d'y attacher une embarcation sur quai."
25452601,Lot for sale,2023-06-20,Active,"2, Route des Pionniers, Rouyn-Noranda, Neighbourhood Bellecombe",160000 sqft,54700,YES,"0,00",Residential,48.0778735100--78.9425877400,"Terrain d'une belle superficie à 15 de minutes de la ville,  près d'une école primaire, ainsi que du magasin général avec essence. Secteur tranquille dans la nature donnant accès à plusieurs plans d'eau, camping, espace pour la chasse. L'endroit idéal pour votre futur projet de vie!"
20875114,Lot for sale,2023-06-20,Active,"Chemin du Lac-Archange, Sainte-Thècle",45866 sqft,65000,YES,"0,00",Residential,46.8012347300--72.6090106100,"(terrain #56) Voici 18 terrains situés en bordure du ruisseau menant au majestueux Lac Archange! Ce grand lac navigable (voir règlements) est d'une beauté sans pareil, un bijou dans notre région!  Il est situé à la limite de Sainte-Thècle et de Grandes-Piles dans la MRC Mékinac, en Mauricie, tout près du village de Saint-Tite. Électricité disponible sur le chemin. Terrains prêts pour votre future construction!"
21686863,Lot for sale,2023-06-20,Active,"136, Chemin du Domaine, La Pêche, Neighbourhood Alcove",172519 sqft,157000,NO,"0,00",Residential,45.7367596800--76.0295755700,Magnificent wooded lot of over 4 acres located within the chemin du Sanctuaire crescent. The entire lot is covered with tall mature trees and its residential zoning allows the future buyer to build their dream home. The zoning chart is available upon demand. This haven of peace is only 45 minutes away from Ottawa and a short drive from many ski hills and hiking trails.
14843661,Lot for sale,2023-06-20,Active,"4115, boulevard Guillaume-Couture, Lévis (Desjardins), Neighbourhood Lévis",36970 sqft,2000000,YES,"0,00","Commercial, Residential",46.7772790000--71.1956620000,Consult
11390150,Lot for sale,2023-06-20,Active,"boulevard Marie-Victorin, Delson",31368 sqft,2000000,YES,"0,00",Residential,45.4009150000--73.5359950000,"Magnifique terrain de plus de 31 000 pc, situé à Delson dans un secteur familial et recherché; ARBRES MATURES, à deux pas du bord de l'eau; AVIS À TOUS: Très beau projet déjà accepté par l'urbanisme de Delson.  Une rareté, il ne manque que vous pour le réaliser.  Faites-vite!!!"
